,BaseBridge,DroidKungFu,FakeDoc,FakeInstaller,GinMaster,Iconosys,Kmin,Opfake,Plankton,benign,accuracy,macro avg,weighted avg
precision,1.0,0.9852941176470589,1.0,1.0,0.8,0.9375,1.0,0.9836065573770492,1.0,0.9926624737945493,0.9866666666666667,0.9699063148818657,0.9875964394842494
recall,0.9090909090909091,1.0,1.0,0.978494623655914,0.9411764705882353,1.0,1.0,0.9836065573770492,1.0,0.9895506792058516,0.9866666666666667,0.9801919239917959,0.9866666666666667
f1-score,0.9523809523809523,0.9925925925925926,1.0,0.9891304347826086,0.8648648648648649,0.967741935483871,1.0,0.9836065573770492,1.0,0.9911041339612768,0.9866666666666667,0.9741421471443216,0.986910812004195
support,33.0,67.0,13.0,93.0,34.0,15.0,15.0,61.0,62.0,957.0,0.9866666666666667,1350.0,1350.0
