,BaseBridge,DroidKungFu,FakeDoc,FakeInstaller,GinMaster,Iconosys,Kmin,Opfake,Plankton,benign,accuracy,macro avg,weighted avg
precision,1.0,0.9852941176470589,1.0,1.0,0.96875,0.9333333333333333,1.0,0.9523809523809523,1.0,0.9906542056074766,0.9888888888888889,0.9830412608968822,0.9889655694399601
recall,0.9090909090909091,1.0,1.0,0.956989247311828,0.9117647058823529,0.9333333333333333,1.0,0.9836065573770492,1.0,0.9968652037617555,0.9888888888888889,0.9691649956757228,0.9888888888888889
f1-score,0.9523809523809523,0.9925925925925926,1.0,0.978021978021978,0.9393939393939394,0.9333333333333333,1.0,0.967741935483871,1.0,0.99375,0.9888888888888889,0.9757214731206668,0.9887990526609105
support,33.0,67.0,13.0,93.0,34.0,15.0,15.0,61.0,62.0,957.0,0.9888888888888889,1350.0,1350.0
