,BaseBridge,DroidKungFu,FakeDoc,FakeInstaller,GinMaster,Iconosys,Kmin,Opfake,Plankton,benign,accuracy,macro avg,weighted avg
precision,1.0,1.0,1.0,1.0,0.9117647058823529,0.9375,1.0,0.9836065573770492,1.0,0.9885892116182573,0.9881481481481481,0.9821460474877661,0.9882536114953128
recall,0.8484848484848485,0.9850746268656716,1.0,0.978494623655914,0.9117647058823529,1.0,1.0,0.9836065573770492,1.0,0.9958202716823407,0.9881481481481481,0.9703245633948177,0.9881481481481481
f1-score,0.9180327868852459,0.9924812030075187,1.0,0.9891304347826086,0.9117647058823529,0.967741935483871,1.0,0.9836065573770492,1.0,0.9921915668922436,0.9881481481481481,0.9754949190310891,0.9880177122604701
support,33.0,67.0,13.0,93.0,34.0,15.0,15.0,61.0,62.0,957.0,0.9881481481481481,1350.0,1350.0
