,BaseBridge,DroidKungFu,FakeDoc,FakeInstaller,GinMaster,Iconosys,Kmin,Opfake,Plankton,benign,accuracy,macro avg,weighted avg
precision,0.8823529411764706,0.9850746268656716,0.9285714285714286,1.0,0.8461538461538461,0.9375,1.0,0.9836065573770492,1.0,0.9936842105263158,0.9851851851851852,0.9556943610670782,0.9859085895356793
recall,0.9090909090909091,0.9850746268656716,1.0,0.989247311827957,0.9705882352941176,1.0,1.0,0.9836065573770492,1.0,0.9864158829676071,0.9851851851851852,0.9824023523423312,0.9851851851851852
f1-score,0.8955223880597015,0.9850746268656716,0.9629629629629629,0.9945945945945946,0.9041095890410958,0.967741935483871,1.0,0.9836065573770492,1.0,0.9900367068694285,0.9851851851851852,0.9683649361254375,0.985399287522581
support,33.0,67.0,13.0,93.0,34.0,15.0,15.0,61.0,62.0,957.0,0.9851851851851852,1350.0,1350.0
