,BaseBridge,DroidKungFu,FakeDoc,FakeInstaller,GinMaster,Iconosys,Kmin,Opfake,Plankton,benign
BaseBridge,30,0,0,0,0,0,0,0,0,3
DroidKungFu,0,66,0,0,1,0,0,0,0,0
FakeDoc,0,0,13,0,0,0,0,0,0,0
FakeInstaller,0,0,0,92,0,0,0,0,0,1
GinMaster,0,0,0,0,33,0,0,0,0,1
Iconosys,0,0,0,0,0,15,0,0,0,0
Kmin,0,0,0,0,0,0,15,0,0,0
Opfake,0,0,0,0,0,0,0,60,0,1
Plankton,0,0,0,0,0,0,0,0,62,0
benign,4,1,1,0,5,1,0,1,0,944
