,BaseBridge,DroidKungFu,FakeDoc,FakeInstaller,GinMaster,Iconosys,Kmin,Opfake,Plankton,benign,accuracy,macro avg,weighted avg
precision,0.8787878787878788,0.9852941176470589,1.0,0.978021978021978,0.8048780487804879,0.9333333333333333,1.0,0.9375,1.0,0.9915611814345991,0.9792592592592593,0.9509376538005336,0.9803319660221073
recall,0.8787878787878788,1.0,1.0,0.956989247311828,0.9705882352941176,0.9333333333333333,1.0,0.9836065573770492,1.0,0.9822361546499477,0.9792592592592593,0.9705541406754156,0.9792592592592593
f1-score,0.8787878787878788,0.9925925925925926,1.0,0.967391304347826,0.88,0.9333333333333333,1.0,0.96,1.0,0.9868766404199475,0.9792592592592593,0.9598981749481578,0.9795496591777343
support,33.0,67.0,13.0,93.0,34.0,15.0,15.0,61.0,62.0,957.0,0.9792592592592593,1350.0,1350.0
