,BaseBridge,DroidKungFu,FakeDoc,FakeInstaller,GinMaster,Iconosys,Kmin,Opfake,Plankton,benign,accuracy,macro avg,weighted avg
precision,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.987603305785124,0.9903703703703703,0.9920936639118457,0.9904713804713804
recall,0.9090909090909091,1.0,1.0,0.978494623655914,0.8529411764705882,0.9333333333333333,1.0,0.9836065573770492,1.0,0.9989550679205852,0.9903703703703703,0.9656421667848379,0.9903703703703703
f1-score,0.9523809523809523,1.0,1.0,0.9891304347826086,0.9206349206349206,0.9333333333333333,1.0,0.9917355371900827,1.0,0.9932467532467533,0.9903703703703703,0.978046193156865,0.9901868887338364
support,33.0,67.0,13.0,93.0,34.0,15.0,15.0,61.0,62.0,957.0,0.9903703703703703,1350.0,1350.0
