,BaseBridge,DroidKungFu,FakeDoc,FakeInstaller,GinMaster,Iconosys,Kmin,Opfake,Plankton,benign,accuracy,macro avg,weighted avg
precision,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,1.0,0.987603305785124,0.9903703703703703,0.9920936639118457,0.9904713804713804
recall,0.8787878787878788,1.0,1.0,0.978494623655914,0.8823529411764706,0.9333333333333333,1.0,0.9836065573770492,1.0,0.9989550679205852,0.9903703703703703,0.9655530402251232,0.9903703703703703
f1-score,0.9354838709677419,1.0,1.0,0.9891304347826086,0.9375,0.9333333333333333,1.0,0.9917355371900827,1.0,0.9932467532467533,0.9903703703703703,0.9780429929520519,0.9901985991129304
support,33.0,67.0,13.0,93.0,34.0,15.0,15.0,61.0,62.0,957.0,0.9903703703703703,1350.0,1350.0
