,BaseBridge,DroidKungFu,FakeDoc,FakeInstaller,GinMaster,Iconosys,Kmin,Opfake,Plankton,benign,accuracy,macro avg,weighted avg
precision,1.0,1.0,1.0,0.9886363636363636,0.8,0.9333333333333333,1.0,0.8955223880597015,1.0,0.9885057471264368,0.9792592592592593,0.9605997832155836,0.9805704055480174
recall,0.8484848484848485,0.9701492537313433,1.0,0.9354838709677419,0.9411764705882353,0.9333333333333333,1.0,0.9836065573770492,1.0,0.9885057471264368,0.9792592592592593,0.9600740081608988,0.9792592592592593
f1-score,0.9180327868852459,0.9848484848484849,1.0,0.9613259668508287,0.8648648648648649,0.9333333333333333,1.0,0.9375,1.0,0.9885057471264368,0.9792592592592593,0.9588411183909196,0.9794638153885882
support,33.0,67.0,13.0,93.0,34.0,15.0,15.0,61.0,62.0,957.0,0.9792592592592593,1350.0,1350.0
