,BaseBridge,DroidKungFu,FakeDoc,FakeInstaller,GinMaster,Iconosys,Kmin,Opfake,Plankton,benign,accuracy,macro avg,weighted avg
precision,1.0,0.9852941176470589,1.0,0.9787234042553191,0.9117647058823529,0.9375,1.0,1.0,1.0,0.9895833333333334,0.9874074074074074,0.9802865561118065,0.9875035055393315
recall,0.8484848484848485,1.0,1.0,0.989247311827957,0.9117647058823529,1.0,1.0,0.9836065573770492,1.0,0.9926854754440961,0.9874074074074074,0.9725788899016303,0.9874074074074074
f1-score,0.9180327868852459,0.9925925925925926,1.0,0.983957219251337,0.9117647058823529,0.967741935483871,1.0,0.9917355371900827,1.0,0.99113197704747,0.9874074074074074,0.975695675433295,0.9872830414048689
support,33.0,67.0,13.0,93.0,34.0,15.0,15.0,61.0,62.0,957.0,0.9874074074074074,1350.0,1350.0
